ProgramCode,FromGrade,ToGrade,GroupState,IsNonAnnual,Days,TravelType,DepartureDate,ReturnDate,DepositDate,SpecialPay,Tuition,FRPActive,FRPCancelled,FRPTakeuppercent,EarlyRPL,LatestRPL,CancelledPax,TotalDiscountPax,InitialSystemDate,PovertyCode,Region,CRMSegment,SchoolType,ParentMeetingFlag,MDRLowGrade,MDRHighGrade,TotalSchoolEnrollment,IncomeLevel,EZPayTakeUpRate,SchoolSponsor,SPRProductType,SPRNewExisting,FPP,TotalPax,SPRGroupRevenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPPtoSchoolenrollment,FPPtoPAX,NumofNonFPPPAX,SchoolSizeIndicator,RetainedLabel
HC,8,8,CA,0,6,A,2/19/11,2/24/11,10/15/10,FIXED_NA,2631,97,30,0.669,2/4/10,9/1/10,37,14,1/19/10,B,Southern California,5,PUBLIC,1,7,12,2393,Q,0.2,0,East Coast,EXISTING,145,159,2631,2,5/11/10,10/7/10,284,135,Middle,Middle,Middle->Middle,Other,Middle,High,Middle->High,H,1,0.060593397,0.911949686,14,L,Retained
HD,8,8,CA,0,5,A,2/19/11,2/24/11,10/15/10,FIXED_NA,2049,43,3,0.606,2/25/10,8/24/10,5,9,2/24/10,A,Northern California,5,PUBLIC,1,6,8,783,Q,0.268,1,East Coast,EXISTING,71,80,2049,1,9/9/10,9/9/10,163,163,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.090676884,0.8875,9,M-L,Retained
HD,8,8,CA,0,6,A,2/19/11,2/24/11,10/15/10,FIXED_NA,2469,14,2,0.778,3/10/10,8/31/10,2,1,3/10/10,FIXED_NA,Northern California,7,PUBLIC,1,FIXED_NA,0,0,FIXED_NA,0,0,East Coast,EXISTING,18,19,2469,2,5/21/10,10/5/10,274,137,Middle,Middle,Middle->Middle,Other,Undefined,Undefined,Undefined->Undefined,H,1,0,0.947368421,1,FIXED_NA,Retained
HC,8,8,CA,0,6,A,2/19/11,2/25/11,10/15/10,FIXED_NA,2366,36,4,0.75,2/8/10,8/23/10,3,3,1/30/10,B,Northern California,5,PUBLIC,1,6,8,700,Other,0.146,0,East Coast,EXISTING,48,51,2366,2,3/10/10,9/2/10,346,170,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.068571429,0.941176471,3,M-L,Retained
HC,8,8,CA,1,6,A,2/20/11,2/25/11,10/25/10,FIXED_NA,2559,37,8,0.617,5/7/10,8/19/10,11,7,5/7/10,A,Northern California,5,PUBLIC,1,6,8,700,Q,0.233,0,East Coast,EXISTING,60,67,2559,1,10/1/10,10/1/10,142,142,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.085714286,0.895522388,7,M-L,Churned
HC,8,8,CA,0,6,A,2/20/11,2/25/11,9/30/10,FIXED_NA,2907,18,3,0.667,1/28/10,9/2/10,5,3,1/27/10,A,Northern California,4,PUBLIC,1,Other,5,430,Q,0.222,0,East Coast,EXISTING,27,30,2907,2,5/17/10,9/14/10,279,159,Middle,Middle,Middle->Middle,Other,Elementary,Elementary,Other,H,1,0.062790698,0.9,3,S-M,Retained
HC,7,8,CA,0,7,A,2/20/11,2/26/11,10/5/10,FIXED_NA,2949,31,1,0.775,3/4/10,8/24/10,0,4,3/3/10,FIXED_NA,Southern California,5,Private non-Christian,1,K,8,562,P,0.175,0,East Coast,EXISTING,40,44,2949,2,9/30/10,1/13/11,143,38,Middle,Middle,Middle->Middle,Other,K,Middle,K->Middle,H,0,0.071174377,0.909090909,4,S-M,Retained
CD,8,8,TX,0,5,A,2/21/11,2/25/11,10/15/10,FR,1399,25,0,0.758,3/26/10,8/26/10,0,2,3/26/10,FIXED_NA,Dallas,10,CHD,1,PK,12,522,L,0.273,0,East Coast,EXISTING,33,35,1399,1,4/13/10,4/13/10,314,314,Middle,Middle,Middle->Middle,Other,PK,High,PK->High,C,1,0.063218391,0.942857143,2,S-M,Retained
HN,0,0,OH,0,4,B,2/21/11,2/25/11,11/10/10,FIXED_NA,1190,19,3,0.826,1/1/10,9/21/10,2,3,9/20/10,A,Other,9,PUBLIC,0,9,12,364,M,0.174,0,East Coast,NEW,23,26,1190,0,1/1/10,1/1/10,0,0,Undefined,Undefined,Undefined->Undefined,Other,High,High,High->High,H,0,0.063186813,0.884615385,3,S-M,Churned
HD,8,8,OH,0,3,A,2/22/11,2/24/11,6/1/10,SA,935,4,0,0.121,5/25/10,5/25/10,2,3,5/5/10,A,Other,10,PUBLIC,1,7,8,351,M,0,0,East Coast,EXISTING,33,36,935,1,9/14/11,9/14/11,-204,-204,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.094017094,0.916666667,3,S-M,Retained
HD,8,8,CA,0,5,A,2/22/11,2/26/11,10/22/10,FIXED_NA,2077,2,3,0.5,5/19/10,9/3/10,3,1,5/12/10,A,Northern California,5,PUBLIC,1,6,8,1306,Q,0,0,East Coast,EXISTING,4,5,2077,2,9/14/10,9/30/10,161,145,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.003062787,0.8,1,L,Retained
HD,8,8,CA,0,5,A,2/22/11,2/26/11,10/22/10,FIXED_NA,2077,8,6,0.727,5/19/10,9/3/10,4,1,5/12/10,A,Northern California,5,PUBLIC,1,6,8,1008,Q,0.273,0,East Coast,EXISTING,11,12,2077,1,9/30/10,9/30/10,145,145,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.010912698,0.916666667,1,L,Churned
HS,4,4,CA,0,3,A,2/23/11,2/25/11,9/24/10,FIXED_NA,874,9,0,0.563,4/5/10,8/24/10,0,1,3/3/10,FIXED_NA,Southern California,5,Private non-Christian,0,PK,8,652,O,0.125,1,CA History,EXISTING,16,17,874,0,1/1/10,1/1/10,0,0,Elementary,Elementary,Elementary->Elementary,Other,PK,Middle,PK->Middle,H,1,0.024539877,0.941176471,1,M-L,Retained
HD,8,8,Other,0,4,A,2/23/11,2/26/11,10/5/10,FIXED_NA,1138,70,7,0.636,4/20/10,8/19/10,10,13,3/9/10,A,Other,4,PUBLIC,1,Other,6,240,M,0.355,0,East Coast,EXISTING,110,123,1138,1,9/28/10,9/28/10,148,148,Middle,Middle,Middle->Middle,Other,Elementary,Middle,Elementary->Middle,H,1,0.458333333,0.894308943,13,S,Retained
HD,8,8,FL,0,4,A,2/23/11,2/26/11,11/1/10,FIXED_NA,1310,43,0,0.573,2/11/10,8/4/10,0,7,2/10/10,FIXED_NA,Other,5,Private non-Christian,0,PK,12,850,L,0.147,0,East Coast,EXISTING,75,82,1310,0,1/1/10,1/1/10,0,0,Middle,Middle,Middle->Middle,Other,PK,High,PK->High,H,1,0.088235294,0.914634146,7,L,Retained
HD,8,8,TX,0,4,A,2/24/11,2/27/11,10/8/10,FIXED_NA,1550,44,6,0.898,4/1/10,8/11/10,7,2,3/20/10,C,Houston,10,PUBLIC,1,7,8,880,E,0.388,0,East Coast,EXISTING,49,51,1550,1,9/15/10,9/15/10,162,162,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.055681818,0.960784314,2,L,Retained
HD,8,8,IL,0,4,A,2/24/11,2/27/11,10/1/10,FIXED_NA,1149,20,2,0.87,3/26/10,8/26/10,3,4,3/26/10,FIXED_NA,Other,5,Catholic,1,PK,8,650,Q,0.217,0,East Coast,NEW,23,27,1149,2,4/13/10,9/23/10,317,154,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,H,1,0.035384615,0.851851852,4,M-L,Retained
Other,7,0,Other,0,3,A,2/26/11,2/28/11,11/15/10,FIXED_NA,1188,11,6,0.846,1/1/10,9/23/10,6,1,9/23/10,A,Other,6,PUBLIC,1,6,7,565,O,0,0,Science,NEW,13,14,1188,1,10/14/10,10/14/10,135,135,Middle,Undefined,Other,Other,Middle,Middle,Middle->Middle,S,0,0.02300885,0.928571429,1,S-M,Retained
CD,11,12,AZ,0,6,A,2/26/11,3/4/11,10/1/10,FIXED_NA,2154,4,2,0.5,2/18/10,8/30/10,2,1,2/18/10,FIXED_NA,Other,5,CHD,1,PK,12,1325,K,0.25,1,East Coast,EXISTING,8,9,2154,1,8/26/10,8/26/10,184,184,High,High,High->High,Other,PK,High,PK->High,C,0,0.006037736,0.888888889,1,L,Retained
CD,8,8,Other,0,5,A,2/28/11,3/4/11,10/1/10,FR,1684,11,2,0.579,3/18/10,9/1/10,2,1,3/17/10,FIXED_NA,Other,5,CHD,1,PK,8,412,H,0.368,1,East Coast,EXISTING,19,20,1684,1,8/23/10,8/23/10,189,189,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,C,1,0.046116505,0.95,1,S-M,Retained
HD,8,8,Other,0,4,A,3/1/11,3/4/11,11/12/10,FR,1163,46,3,0.697,2/15/10,8/12/10,3,7,2/16/10,FIXED_NA,Other,10,CHD,1,PK,12,750,K,0.136,0,East Coast,EXISTING,66,73,1163,1,8/17/10,8/17/10,196,196,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.088,0.904109589,7,M-L,Retained
HD,9,9,Other,0,5,A,3/1/11,3/5/11,10/28/10,CP,1321,37,4,0.638,3/29/10,9/3/10,7,4,3/23/10,B,Other,10,PUBLIC,1,7,9,824,G,0.31,0,East Coast,EXISTING,58,62,1321,1,9/8/10,9/8/10,174,174,High,High,High->High,March,Middle,High,Middle->High,H,1,0.07038835,0.935483871,4,L,Retained
Other,4,4,CA,1,3,A,3/2/11,3/4/11,10/15/10,SA,808,0,0,0,1/1/10,9/24/10,1,1,1/16/10,FIXED_NA,Southern California,4,Private non-Christian,0,PK,6,230,O,0,1,CA History,EXISTING,45,46,808,0,1/1/10,1/1/10,0,0,Elementary,Elementary,Elementary->Elementary,March,PK,Middle,PK->Middle,H,1,0.195652174,0.97826087,1,S,Churned
HD,8,8,Other,0,3,A,3/2/11,3/5/11,10/15/10,FIXED_NA,1460,38,1,0.576,4/14/10,8/26/10,2,4,4/14/10,FIXED_NA,Other,5,Private non-Christian,1,PK,12,1023,Other,0.167,0,East Coast,EXISTING,66,70,1460,1,9/20/10,9/20/10,163,163,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.064516129,0.942857143,4,L,Retained
HC,9,12,Other,0,4,A,3/3/11,3/6/11,1/22/11,CP,1589,2,3,0.167,1/1/10,9/23/10,4,1,9/22/10,C,Other,8,PUBLIC,1,9,12,1688,G,0,0,East Coast,NEW,12,13,1589,1,10/7/10,10/7/10,147,147,High,High,High->High,March,High,High,High->High,H,0,0.007109005,0.923076923,1,L,Churned
HD,7,8,MN,1,4,A,3/3/11,3/6/11,10/29/10,FIXED_NA,1477,12,1,0.571,1/22/10,1/22/10,2,1,1/14/10,FIXED_NA,Other,10,Catholic,1,PK,8,200,N,0.143,0,East Coast,EXISTING,21,22,1477,1,2/4/10,2/4/10,392,392,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,H,0,0.105,0.954545455,1,S,Churned
HD,8,8,Other,0,3,B,3/3/11,3/7/11,10/22/10,FIXED_NA,851,50,1,0.746,1/1/10,8/24/10,1,4,5/21/10,FIXED_NA,Other,10,Private non-Christian,1,PK,12,1555,Other,0.149,0,East Coast,EXISTING,67,71,851,1,9/3/10,9/3/10,181,181,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.043086817,0.943661972,4,L,Retained
