ProgramCode,FromGrade,ToGrade,GroupState,IsNonAnnual,Days,TravelType,DepartureDate,ReturnDate,DepositDate,SpecialPay,Tuition,FRPActive,FRPCancelled,FRPTakeuppercent,EarlyRPL,LatestRPL,CancelledPax,TotalDiscountPax,InitialSystemDate,PovertyCode,Region,CRMSegment,SchoolType,ParentMeetingFlag,MDRLowGrade,MDRHighGrade,TotalSchoolEnrollment,IncomeLevel,EZPayTakeUpRate,SchoolSponsor,SPRProductType,SPRNewExisting,FPP,TotalPax,SPRGroupRevenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPPtoSchoolenrollment,FPPtoPAX,NumofNonFPPPAX,SchoolSizeIndicator,RetainedLabel
Other,7,0,Other,0,3,A,2/26/11,2/28/11,11/15/10,FIXED_NA,1188,11,6,0.846,1/1/10,9/23/10,6,1,9/23/10,A,Other,6,PUBLIC,1,6,7,565,O,0,0,Science,NEW,13,14,1188,1,10/14/10,10/14/10,135,135,Middle,Undefined,Other,Other,Middle,Middle,Middle->Middle,S,0,0.02300885,0.928571429,1,S-M,Retained
CD,8,8,Other,0,5,A,2/28/11,3/4/11,10/1/10,FR,1684,11,2,0.579,3/18/10,9/1/10,2,1,3/17/10,FIXED_NA,Other,5,CHD,1,PK,8,412,H,0.368,1,East Coast,EXISTING,19,20,1684,1,8/23/10,8/23/10,189,189,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,C,1,0.046116505,0.95,1,S-M,Retained
HD,8,8,Other,0,4,A,3/1/11,3/4/11,11/12/10,FR,1163,46,3,0.697,2/15/10,8/12/10,3,7,2/16/10,FIXED_NA,Other,10,CHD,1,PK,12,750,K,0.136,0,East Coast,EXISTING,66,73,1163,1,8/17/10,8/17/10,196,196,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.088,0.904109589,7,M-L,Retained
HD,0,0,IL,0,3,A,3/5/11,3/7/11,10/9/10,FIXED_NA,1066,88,3,0.765,4/20/10,8/23/10,4,11,1/28/10,A,Other,5,PUBLIC,1,6,8,586,Q,0.226,0,East Coast,EXISTING,115,126,1066,1,9/1/10,9/1/10,185,185,Undefined,Undefined,Undefined->Undefined,March,Middle,Middle,Middle->Middle,H,0,0.196245734,0.912698413,11,M-L,Retained
Other,8,8,CA,0,7,A,3/6/11,3/12/11,10/1/10,CP,2389,38,1,0.623,2/18/10,8/11/10,1,5,2/18/10,FIXED_NA,Northern California,5,CHD,1,PK,8,864,Q,0.312,1,East Coast,EXISTING,61,66,2389,1,9/2/10,9/2/10,185,185,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,C,1,0.070601852,0.924242424,5,L,Retained
HD,7,8,TX,0,6,A,3/8/11,3/13/11,10/15/10,SA,2096,0,0,0,2/11/10,2/11/10,2,4,2/11/10,FIXED_NA,Houston,5,Catholic,0,PK,8,428,Other,0,0,East Coast,EXISTING,52,56,2096,0,1/1/10,1/1/10,0,0,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,H,0,0.121495327,0.928571429,4,S-M,Retained
HC,7,8,MN,1,5,A,3/11/11,3/15/11,11/1/10,FIXED_NA,1620,23,3,0.575,2/18/10,8/9/10,2,2,1/14/10,B,Other,10,PUBLIC,1,K,8,700,M,0.3,0,East Coast,EXISTING,40,42,1620,1,9/30/10,9/30/10,162,162,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,0,0.057142857,0.952380952,2,M-L,Churned
HD,8,8,Other,0,4,B,3/11/11,3/16/11,11/1/10,FIXED_NA,1217,13,1,0.619,3/23/10,8/20/10,1,1,3/7/10,FIXED_NA,Other,10,Private non-Christian,1,K,12,780,G,0.191,0,East Coast,EXISTING,21,22,1217,1,8/24/10,8/24/10,199,199,Middle,Middle,Middle->Middle,March,K,High,K->High,H,1,0.026923077,0.954545455,1,M-L,Retained
HD,8,8,Other,0,4,A,3/12/11,3/15/11,10/1/10,FIXED_NA,1560,10,1,0.833,3/15/10,8/11/10,1,1,3/11/10,B,Other,5,PUBLIC,1,6,8,900,Q,0.25,0,East Coast,EXISTING,12,13,1560,2,5/20/10,9/23/10,296,170,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.013333333,0.923076923,1,L,Retained
HD,8,8,Other,0,5,A,3/12/11,3/16/11,11/1/10,FIXED_NA,2021,4,1,0.5,4/9/10,8/9/10,9,2,4/8/10,C,Other,10,PUBLIC,1,6,8,509,Other,0,0,East Coast,EXISTING,8,10,2021,1,8/31/10,8/31/10,193,193,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.015717092,0.8,2,S-M,Retained
HD,7,8,AZ,0,6,A,3/12/11,3/17/11,10/4/10,FIXED_NA,2153,6,3,0.857,2/10/10,8/27/10,5,1,1/26/10,B,Other,5,PUBLIC,1,7,8,783,O,0.143,0,East Coast,EXISTING,7,8,2153,2,6/2/10,8/31/10,283,193,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.008939974,0.875,1,M-L,Retained
HD,8,8,TX,0,8,A,3/12/11,3/19/11,10/5/10,FIXED_NA,2070,54,11,0.643,1/22/10,8/9/10,10,10,1/22/10,C,Dallas,10,PUBLIC,1,6,8,767,Other,0.238,0,East Coast,EXISTING,84,94,2070,1,9/16/10,9/16/10,177,177,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.109517601,0.893617021,10,M-L,Retained
HD,7,8,TX,1,4,A,3/13/11,3/16/11,11/12/10,FIXED_NA,1585,25,4,0.781,2/3/10,8/20/10,6,3,2/4/10,B,Dallas,10,PUBLIC,1,6,8,772,L,0.188,0,East Coast,EXISTING,32,35,1585,1,9/23/10,9/23/10,171,171,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.041450777,0.914285714,3,M-L,Churned
HD,8,8,TX,0,4,A,3/13/11,3/16/11,10/19/10,FR,1508,11,1,0.611,2/25/10,8/27/10,2,1,2/19/10,C,Dallas,10,CHD,1,6,8,0,H,0.222,0,East Coast,EXISTING,18,19,1508,1,9/8/10,9/8/10,186,186,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0,0.947368421,1,FIXED_NA,Retained
HD,8,8,TX,0,4,A,3/13/11,3/16/11,10/1/10,FIXED_NA,1577,4,2,0.8,3/3/10,10/5/10,3,1,3/2/10,A,Dallas,5,PUBLIC,1,6,8,789,Q,0.2,0,East Coast,EXISTING,5,6,1577,2,4/20/10,9/28/10,327,166,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.006337136,0.833333333,1,M-L,Retained
HD,6,8,TX,1,5,A,3/13/11,3/17/11,10/15/10,FIXED_NA,1539,12,4,0.75,7/8/10,7/8/10,4,2,7/9/10,C,Houston,10,PUBLIC,1,6,8,380,I,0.125,0,East Coast,NEW,16,18,1539,1,8/30/10,8/30/10,195,195,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.042105263,0.888888889,2,S-M,Churned
CD,5,6,OH,0,6,B,3/13/11,3/18/11,6/1/10,SA,1083,0,0,0,2/9/10,2/9/10,5,3,1/29/10,FIXED_NA,Other,2,CHD,1,K,8,329,M,0,1,East Coast,EXISTING,51,54,1083,1,10/27/10,10/27/10,137,137,Elementary,Middle,Elementary->Middle,March,K,Middle,K->Middle,C,0,0.155015198,0.944444444,3,S,Retained
HD,5,5,TX,0,5,A,3/13/11,3/18/11,10/15/10,FIXED_NA,1688,16,7,0.552,2/22/10,8/13/10,7,3,2/20/10,C,Houston,4,PUBLIC,1,PK,5,600,I,0.172,0,East Coast,EXISTING,29,32,1688,2,4/22/10,9/16/10,325,178,Elementary,Elementary,Elementary->Elementary,March,PK,Elementary,Other,H,1,0.048333333,0.90625,3,M-L,Retained
HD,8,8,Other,0,7,A,3/13/11,3/19/11,10/15/10,FIXED_NA,2279,6,1,0.857,3/10/10,9/8/10,2,1,3/9/10,B,Other,5,PUBLIC,1,7,8,388,M,0.286,0,East Coast,NEW,7,8,2279,2,4/27/10,9/28/10,320,166,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.018041237,0.875,1,S-M,Retained
HN,8,8,TX,0,4,A,3/14/11,3/17/11,11/1/10,FIXED_NA,2226,4,2,1,4/21/10,9/7/10,2,1,4/20/10,C,Dallas,10,PUBLIC,1,6,8,220,G,0.25,0,East Coast,NEW,4,5,2226,1,5/18/10,5/18/10,300,300,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.018181818,0.8,1,S,Churned
HD,11,12,Other,1,4,A,3/14/11,3/17/11,10/15/10,FIXED_NA,1249,16,2,0.615,3/11/10,8/31/10,5,3,3/12/10,B,Other,10,PUBLIC,1,PK,12,465,M,0.346,0,East Coast,EXISTING,26,29,1249,1,9/22/10,9/22/10,173,173,High,High,High->High,March,PK,High,PK->High,H,0,0.055913978,0.896551724,3,S-M,Churned
CD,8,8,TX,0,4,A,3/14/11,3/17/11,10/15/10,FIXED_NA,1524,8,1,0.444,2/24/10,8/23/10,2,1,2/25/10,FIXED_NA,Houston,10,Private non-Christian,1,K,12,407,C,0.222,0,East Coast,EXISTING,18,19,1524,1,6/1/10,6/1/10,286,286,Middle,Middle,Middle->Middle,March,K,High,K->High,C,1,0.044226044,0.947368421,1,S-M,Retained
HN,8,8,CA,0,6,A,3/14/11,3/19/11,10/22/10,FIXED_NA,2550,4,0,1,3/24/10,8/18/10,0,0,3/19/10,B,Southern California,5,PUBLIC,0,6,8,958,O,0,0,East Coast,EXISTING,4,4,2550,0,1/1/10,1/1/10,0,0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.004175365,1,0,L,Retained
HD,8,8,MN,0,4,A,3/15/11,3/18/11,10/15/10,FIXED_NA,1569,4,6,0.667,3/12/10,8/11/10,6,2,3/14/10,C,Other,10,PUBLIC,1,6,8,512,J,0.167,0,East Coast,EXISTING,6,8,1569,1,9/13/10,9/13/10,183,183,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.01171875,0.75,2,S-M,Retained
HD,5,5,TX,0,4,A,3/15/11,3/18/11,11/1/10,FIXED_NA,1621,26,7,0.65,2/2/10,8/11/10,7,3,2/1/10,B,Dallas,4,PUBLIC,1,K,5,820,M,0.125,0,East Coast,EXISTING,40,43,1621,2,3/11/10,9/28/10,369,168,Elementary,Elementary,Elementary->Elementary,March,K,Elementary,K->Elementary,H,1,0.048780488,0.930232558,3,L,Retained
HD,7,8,OH,0,4,B,3/15/11,3/18/11,10/5/10,FIXED_NA,489,64,11,0.538,4/15/10,8/19/10,12,12,4/14/10,C,Other,10,PUBLIC,1,6,8,1016,F,0.067,1,East Coast,EXISTING,119,131,489,1,9/1/10,9/1/10,195,195,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.117125984,0.908396947,12,L,Retained
HC,8,12,TX,1,5,A,3/15/11,3/19/11,10/31/10,FIXED_NA,2043,15,10,0.577,4/14/10,8/2/10,6,2,4/13/10,FIXED_NA,Dallas,10,CHD,1,PK,12,337,C,0.269,0,East Coast,NEW,26,28,2043,1,4/27/10,4/27/10,322,322,Middle,High,Middle->High,March,PK,High,PK->High,H,0,0.077151335,0.928571429,2,S,Churned
HC,6,8,Other,1,11,A,3/15/11,3/25/11,6/1/10,FIXED_NA,3479,32,1,0.842,4/13/10,4/13/10,1,4,4/2/10,FIXED_NA,Other,5,CHD,1,7,12,600,J,0.237,1,East Coast,EXISTING,38,42,3479,1,9/9/10,9/9/10,187,187,Middle,Middle,Middle->Middle,March,Middle,High,Middle->High,H,0,0.063333333,0.904761905,4,M-L,Retained
SK,7,8,CA,1,5,A,3/16/11,3/20/11,11/19/10,FIXED_NA,1982,8,0,0.667,3/16/10,8/26/10,0,1,3/14/10,B,Northern California,7,PUBLIC,1,6,8,313,L,0.25,0,Science,EXISTING,12,13,1982,1,9/14/10,9/14/10,183,183,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,S,0,0.038338658,0.923076923,1,S,Churned
HD,8,8,CO,0,4,A,3/17/11,3/20/11,10/1/10,FIXED_NA,1539,7,2,0.5,3/29/10,8/12/10,3,2,3/30/10,B,Other,10,PUBLIC,1,6,8,230,L,0.286,0,East Coast,EXISTING,14,16,1539,1,8/26/10,8/26/10,203,203,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.060869565,0.875,2,S,Retained
HD,8,8,CA,0,5,A,3/17/11,3/22/11,11/1/10,SA,1731,0,0,0,5/21/10,9/29/10,1,5,5/5/10,FIXED_NA,Northern California,5,Private non-Christian,0,6,12,480,Q,0,1,East Coast,EXISTING,52,57,1731,0,1/1/10,1/1/10,0,0,Middle,Middle,Middle->Middle,March,Middle,High,Middle->High,H,1,0.108333333,0.912280702,5,S-M,Retained
HD,8,8,MI,0,3,A,3/18/11,3/20/11,10/31/10,FR,1149,72,9,0.791,2/26/10,9/1/10,12,8,2/27/10,B,Other,10,PUBLIC,1,6,8,760,L,0.319,0,East Coast,EXISTING,91,99,1149,1,9/20/10,9/20/10,179,179,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.119736842,0.919191919,8,M-L,Retained
HD,8,8,Other,0,6,B,3/18/11,3/23/11,10/18/10,FIXED_NA,1039,54,10,0.524,2/25/10,8/13/10,13,10,2/18/10,C,Other,10,PUBLIC,1,6,8,702,H,0.243,0,East Coast,EXISTING,103,113,1039,1,9/14/10,9/14/10,185,185,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.146723647,0.911504425,10,M-L,Retained
HD,8,8,Other,0,6,B,3/18/11,3/23/11,10/20/10,FIXED_NA,1002,38,5,0.576,3/17/10,8/21/10,6,6,3/16/10,C,Other,10,PUBLIC,1,7,8,644,J,0.303,0,East Coast,EXISTING,66,72,1002,1,8/31/10,8/31/10,199,199,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.102484472,0.916666667,6,M-L,Retained
HD,8,8,Other,0,3,A,3/19/11,3/21/11,10/31/10,FIXED_NA,1068,13,4,0.867,3/2/10,8/23/10,5,2,3/2/10,B,Other,10,PUBLIC,1,7,8,750,K,0.2,0,East Coast,NEW,15,17,1068,1,9/7/10,9/7/10,193,193,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.02,0.882352941,2,M-L,Retained
HD,8,8,Other,0,4,A,3/19/11,3/22/11,10/1/10,FIXED_NA,1219,22,1,0.733,4/27/10,8/16/10,1,2,4/27/10,FIXED_NA,Other,2,Private non-Christian,1,PK,12,428,I,0.433,0,East Coast,EXISTING,30,32,1219,1,9/28/10,9/28/10,172,172,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.070093458,0.9375,2,S-M,Retained
HD,0,0,CO,0,4,A,3/19/11,3/22/11,10/30/10,FIXED_NA,1651,7,1,0.636,1/1/10,10/11/10,2,2,10/8/10,B,Other,10,PUBLIC,1,6,8,925,O,0.091,0,East Coast,NEW,11,13,1651,1,10/21/10,10/21/10,149,149,Undefined,Undefined,Undefined->Undefined,March,Middle,Middle,Middle->Middle,H,0,0.011891892,0.846153846,2,L,Retained
HD,7,8,Other,0,7,B,3/19/11,3/25/11,10/20/10,FIXED_NA,1087,37,6,0.712,3/11/10,8/26/10,8,2,3/2/10,C,Other,10,PUBLIC,1,6,8,810,O,0.269,0,East Coast,EXISTING,52,54,1087,1,9/16/10,9/16/10,184,184,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.064197531,0.962962963,2,M-L,Retained
HD,7,9,CA,0,7,A,3/19/11,3/25/11,10/22/10,FIXED_NA,2249,10,3,0.625,3/9/10,8/6/10,4,2,3/4/10,B,Northern California,5,PUBLIC,1,6,8,650,K,0.188,0,East Coast,EXISTING,16,18,2249,1,9/1/10,9/1/10,199,199,Middle,High,Middle->High,March,Middle,Middle,Middle->Middle,H,0,0.024615385,0.888888889,2,M-L,Retained
HD,11,12,Other,0,3,A,3/20/11,3/22/11,10/31/10,FIXED_NA,809,4,2,0.4,1/1/10,10/4/10,4,1,10/1/10,B,Other,8,PUBLIC,1,9,12,2778,N,0.2,0,East Coast,NEW,10,11,809,1,10/14/10,10/14/10,157,157,High,High,High->High,March,High,High,High->High,H,0,0.003599712,0.909090909,1,L,Churned
CD,0,0,OR,0,5,A,3/20/11,3/24/11,10/15/10,FIXED_NA,1849,7,1,0.583,5/24/10,9/21/10,1,1,5/25/10,FIXED_NA,Pacific Northwest,10,CHD,0,PK,12,195,M,0.5,1,East Coast,NEW,12,13,1849,0,1/1/10,1/1/10,0,0,Undefined,Undefined,Undefined->Undefined,March,PK,High,PK->High,C,0,0.061538462,0.923076923,1,S,Churned
HD,8,8,Other,0,4,A,3/21/11,3/25/11,11/5/10,FIXED_NA,1726,20,0,0.714,4/13/10,8/13/10,0,2,4/8/10,B,Other,10,PUBLIC,1,6,8,708,K,0.321,0,East Coast,NEW,28,30,1726,1,9/16/10,9/16/10,186,186,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.039548023,0.933333333,2,M-L,Retained
HD,8,8,Other,0,5,A,3/21/11,3/25/11,10/31/10,FIXED_NA,1700,4,1,0.444,4/6/10,8/11/10,1,2,4/2/10,B,Other,5,CHD,1,6,8,0,L,0.111,0,East Coast,EXISTING,9,11,1700,2,5/13/10,9/16/10,312,186,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0,0.818181818,2,FIXED_NA,Retained
HD,5,6,CA,1,5,A,3/21/11,3/25/11,11/19/10,FIXED_NA,1999,2,3,0.25,1/1/10,9/16/10,5,1,9/9/10,C,Southern California,4,PUBLIC,1,K,6,680,K,0,0,East Coast,NEW,8,9,1999,1,9/30/10,9/30/10,172,172,Elementary,Middle,Elementary->Middle,March,K,Middle,K->Middle,H,0,0.011764706,0.888888889,1,M-L,Churned
HC,8,8,CA,0,6,A,3/21/11,3/26/11,9/30/10,FIXED_NA,2316,30,6,0.4,3/12/10,8/10/10,6,11,2/17/10,B,Southern California,5,PUBLIC,1,7,8,801,P,0.2,0,East Coast,EXISTING,75,86,2316,1,8/17/10,8/17/10,216,216,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.093632959,0.872093023,11,M-L,Retained
HS,4,4,CA,0,1,A,3/24/11,3/24/11,10/29/10,FIXED_NA,385,40,6,0.769,2/25/10,8/25/10,7,2,2/19/10,FIXED_NA,Southern California,5,CHD,1,PK,12,798,K,0.096,1,CA History,EXISTING,52,54,385,1,10/12/10,10/12/10,163,163,Elementary,Elementary,Elementary->Elementary,March,PK,High,PK->High,H,1,0.065162907,0.962962963,2,M-L,Retained
HD,8,8,Other,0,3,A,3/24/11,3/26/11,10/15/10,FIXED_NA,1269,28,1,0.737,3/18/10,8/20/10,1,5,3/18/10,A,Other,10,PUBLIC,1,6,8,460,P,0.211,0,East Coast,EXISTING,38,43,1269,1,9/14/10,9/14/10,191,191,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.082608696,0.88372093,5,S-M,Retained
HD,9,10,MN,1,4,A,3/24/11,3/27/11,11/19/10,FIXED_NA,1399,13,2,0.448,2/26/10,8/23/10,2,2,2/27/10,A,Other,8,PUBLIC,1,9,12,492,N,0.379,1,East Coast,EXISTING,29,31,1399,2,4/5/10,10/27/10,353,148,High,High,High->High,March,High,High,High->High,H,0,0.058943089,0.935483871,2,S-M,Churned
HD,7,8,CO,0,4,A,3/24/11,3/28/11,10/29/10,FIXED_NA,1606,21,1,0.636,3/2/10,8/25/10,1,5,2/17/10,B,Other,10,PUBLIC,1,K,8,492,M,0.121,0,East Coast,EXISTING,33,38,1606,2,8/25/10,9/1/10,211,204,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,0,0.067073171,0.868421053,5,S-M,Retained
HD,8,9,WA,0,5,A,3/25/11,3/30/11,10/29/10,FR,2233,13,5,0.722,3/15/10,9/15/10,6,2,3/14/10,B,Pacific Northwest,5,PUBLIC,1,7,8,800,M,0.167,0,East Coast,EXISTING,18,20,2233,2,4/20/10,9/21/10,339,185,Middle,High,Middle->High,March,Middle,Middle,Middle->Middle,H,0,0.0225,0.9,2,M-L,Retained
HC,8,9,Other,1,6,A,3/25/11,3/30/11,10/15/10,FIXED_NA,2862,5,6,0.556,1/25/10,8/30/10,6,1,1/21/10,B,Other,5,PUBLIC,1,7,9,768,I,0,0,East Coast,EXISTING,9,10,2862,1,9/16/10,9/16/10,190,190,Middle,High,Middle->High,March,Middle,High,Middle->High,H,0,0.01171875,0.9,1,M-L,Churned
HS,4,4,CA,0,1,A,3/26/11,3/26/11,10/26/10,FIXED_NA,399,16,3,0.39,1/1/10,9/24/10,6,2,9/15/10,A,Southern California,4,PUBLIC,0,K,5,563,Q,0.073,0,CA History,EXISTING,41,43,399,0,1/1/10,1/1/10,0,0,Elementary,Elementary,Elementary->Elementary,March,K,Elementary,K->Elementary,H,1,0.072824156,0.953488372,2,S-M,Retained
Other,4,4,CA,0,3,A,3/26/11,3/28/11,10/30/10,FIXED_NA,798,19,1,0.543,5/18/10,8/23/10,1,2,5/14/10,B,Southern California,4,PUBLIC,0,K,6,1000,Q,0.086,0,CA History,EXISTING,35,37,798,0,1/1/10,1/1/10,0,0,Elementary,Elementary,Elementary->Elementary,March,K,Middle,K->Middle,H,1,0.035,0.945945946,2,L,Retained
HD,8,8,CO,0,4,A,3/26/11,3/29/11,10/19/10,FIXED_NA,1324,34,5,0.654,4/16/10,8/30/10,6,6,4/1/10,B,Other,10,PUBLIC,1,6,8,1200,O,0.308,0,East Coast,EXISTING,52,58,1324,2,5/13/10,9/14/10,317,193,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.043333333,0.896551724,6,L,Retained
HD,8,8,IL,0,4,A,3/26/11,3/29/11,10/1/10,FIXED_NA,1291,30,2,0.714,4/14/10,8/25/10,5,3,4/13/10,B,Other,10,PUBLIC,1,6,8,349,I,0.262,0,East Coast,EXISTING,42,45,1291,2,4/16/10,10/27/10,344,150,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.12034384,0.933333333,3,S-M,Retained
